상품범주(대),상품범주(중),상품범주(소),상품범주(세),상품,상품명,매출금액(취급고기준),카테고리,Dictionary
CK제품,CK반찬,CK양념육,CK수산가공품,701226,CK 오징어볶음(NEW_R 1Kg/EA),3484367,0,
CK제품,CK반찬,CK양념육,CK수산가공품,701227,CK 오징어볶음(NEW_R 5Kg/EA),12999979,0,
CK제품,CK반찬,CK양념육,CK수산가공품,701228,CK 주꾸미볶음(NEW_R 1Kg/EA),5201892,0,
CK제품,CK반찬,CK양념육,CK수산가공품,701229,CK 주꾸미볶음(NEW_R 5Kg/EA),16798516,0,
CK제품,CK반찬,CK양념육,CK수산가공품,701232,CK 양념삼치(NEW_R 1Kg/EA),11800,0,
CK제품,CK반찬,CK양념육,CK수산가공품,701233,CK 양념삼치(NEW_R 5Kg/EA),57970,0,
CK제품,CK반찬,CK양념육,CK수산가공품,701238,CK 양념갈치(NEW_R 1Kg/EA),66540,0,
CK제품,CK반찬,CK양념육,CK수산가공품,701240,CK 오징어굴소스볶음(R 1Kg/EA),450659,0,
CK제품,CK반찬,CK양념육,CK수산가공품,701241,CK 오징어굴소스볶음(R 5Kg/EA),2989600,0,
CK제품,CK반찬,CK양념육,CK수산가공품,701261,CK 가자미구이(R_60g~80g 600g/EA),74480,0,
CK제품,CK반찬,CK양념육,CK수산가공품,701299,CK 양념코다리(원물 50g~70g 1Kg/EA),37760,0,
CK제품,CK반찬,CK양념육,CK수산가공품,701300,CK 양념코다리(원물_50g~70g 5Kg/EA),46200,0,
CK제품,CK반찬,CK조림반찬류,CK조림류,701200,CK 소고기장조림(R 1Kg/EA),963039,0,
CK제품,CK반찬,CK조림반찬류,CK조림류,701202,CK 돈육장조림(R 1Kg/EA),11431028,0,
CK제품,CK반찬,CK조림반찬류,CK조림류,701203,CK 돈육장조림(R 5Kg/EA),9707171,0,
CK제품,CK반찬,CK조림반찬류,CK조림류,701213,CK 볼어묵메추리알조림(R 1Kg/EA),88114556,0,
CK제품,CK반찬,CK조림반찬류,CK조림류,701254,CK 알감자조림(R 1Kg/EA),95509,0,
CK제품,CK반찬,CK조림반찬류,CK조림류,701255,CK 근대된장조림(R 1Kg/EA),255370,0,
CK제품,CK반찬,CK조림반찬류,CK조림류,701298,CK 북어채고추장조림(R 1Kg/EA),82950,0,
CK제품,CK소스/양념,CK소스류,CK소스,701256,CK 순두부베이스(R 1Kg/EA),1033782,0,
CK제품,CK소스/양념,CK소스류,CK소스,701257,CK 미트스파게티소스(R 1Kg/EA),2461358,0,
CK제품,CK소스/양념,CK소스류,CK소스,701258,CK 카레베이스(R 1Kg/EA),334859,0,
CK제품,CK소스/양념,CK소스류,CK소스,701259,CK 강된장베이스(R 1Kg/EA),2508400,0,
CK제품,CK소스/양념,CK소스류,CK소스,701265,CK 겉절이양념소스(R 1Kg/EA),4870823,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,137666,백설 선물세트(콩기름5호 3.298Kg/EA),402393221,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,137686,CJ제일제당 명절선물세트(스팸스위트1호 2.82Kg/EA),3398583,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,137705,CJ제일제당 명절선물세트(스팸3호 3.24Kg/EA),20341795,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,137708,CJ제일제당 명절선물세트(스팸7호 2.4Kg/EA),300627,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,137711,CJ제일제당 명절선물세트(스팸고급유2호 3.256Kg/EA),3067401,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,137712,CJ제일제당 명절선물세트(스팸고급유3호 2.72Kg/EA),9230120,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,146327,백설 선물세트(유러피안B호 1.392Kg/EA),2532949,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,162934,백설 선물세트(유프리미엄17호 1.856Kg/EA),4546711,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,162936,백설 선물세트(유러피한M호 928g/EA),3004695,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,162937,백설 선물세트(유러피안S호 1.856Kg/EA),760660,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,162942,CJ제일제당 명절선물세트(스팸6호 2.4Kg/EA),14682210,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,162944,CJ제일제당 명절선물세트(스팸고급유4호 2.12Kg/EA),1203329,0,
