상품범주(대),상품범주(중),상품범주(소),상품범주(세),상품,상품명,매출금액(취급고기준),Kearney,,,상품범주(세),
CK제품,CK반찬,CK양념육,CK수산가공품,701190,CK 오삼불고기(R 1Kg/EA),"2,269,879",오삼불고기,,,크로켓(고로케),1
CK제품,CK반찬,CK양념육,CK수산가공품,701191,CK 오삼불고기(R 5Kg/EA),"3,983,797",오삼불고기,,,탕수육/깐풍기,
CK제품,CK반찬,CK양념육,CK수산가공품,701192,CK 쭈삼불고기(R 1Kg/EA),"2,494,470",쭈삼불고기,,,튀김류/저온수산가공기타,
CK제품,CK반찬,CK양념육,CK수산가공품,701193,CK 쭈삼불고기(R 5Kg/EA),"2,728,287",쭈삼불고기,,,냉동/냉장꼬치,
CK제품,CK반찬,CK양념육,CK수산가공품,701220,CK 간장양념코다리(R 1Kg/EA),"16,120",간장양념코다리,,,너비아니,1
CK제품,CK반찬,CK양념육,CK수산가공품,701222,CK 양념고등어(NEW_R 1Kg/EA),"64,490",양념고등어,,,떡갈비,1
CK제품,CK반찬,CK양념육,CK수산가공품,701226,CK 오징어볶음(NEW_R 1Kg/EA),"3,484,367",오징어볶음,,,미트볼,1
CK제품,CK반찬,CK양념육,CK수산가공품,701227,CK 오징어볶음(NEW_R 5Kg/EA),"12,999,979",오징어볶음,,,산적,1
CK제품,CK반찬,CK양념육,CK수산가공품,701228,CK 주꾸미볶음(NEW_R 1Kg/EA),"5,201,892",쭈꾸미볶음,,,완자/동그랑땡,
CK제품,CK반찬,CK양념육,CK수산가공품,701229,CK 주꾸미볶음(NEW_R 5Kg/EA),"16,798,516",쭈꾸미볶음,,,타꼬야끼,1
CK제품,CK반찬,CK양념육,CK수산가공품,701232,CK 양념삼치(NEW_R 1Kg/EA),"11,800",양념삼치,,,햄버거패티/스테이크,
CK제품,CK반찬,CK양념육,CK수산가공품,701233,CK 양념삼치(NEW_R 5Kg/EA),"57,970",양념삼치,,,교자만두,1
CK제품,CK반찬,CK양념육,CK수산가공품,701238,CK 양념갈치(NEW_R 1Kg/EA),"66,540",양념갈치,,,군만두,1
CK제품,CK반찬,CK양념육,CK수산가공품,701240,CK 오징어굴소스볶음(R 1Kg/EA),"450,659",오징어굴소스볶음,,,딤섬/춘권,
CK제품,CK반찬,CK양념육,CK수산가공품,701241,CK 오징어굴소스볶음(R 5Kg/EA),"2,989,600",오징어굴소스볶음,,,만두기타,
CK제품,CK반찬,CK양념육,CK수산가공품,701261,CK 가자미구이(R_60g~80g 600g/EA),"74,480",가나미구이,,,만두피,1
CK제품,CK반찬,CK양념육,CK수산가공품,701299,CK 양념코다리(원물 50g~70g 1Kg/EA),"37,760",양념코다리,,,물만두,1
CK제품,CK반찬,CK양념육,CK수산가공품,701300,CK 양념코다리(원물_50g~70g 5Kg/EA),"46,200",양념코다리,,,손만두,1
CK제품,CK반찬,CK조림반찬류,CK조림류,701200,CK 소고기장조림(R 1Kg/EA),"963,039",소고기장조림,,,왕만두,1
CK제품,CK반찬,CK조림반찬류,CK조림류,701202,CK 돈육장조림(R 1Kg/EA),"11,431,028",돈육장조림,,,냉면(냉장/냉동),1
CK제품,CK반찬,CK조림반찬류,CK조림류,701203,CK 돈육장조림(R 5Kg/EA),"9,707,171",돈육장조림,,,생면(냉장/냉동),1
CK제품,CK반찬,CK조림반찬류,CK조림류,701213,CK 볼어묵메추리알조림(R 1Kg/EA),"88,114,556",볼어묵메추리알조림,,,우동면(냉장/냉동),1
CK제품,CK반찬,CK조림반찬류,CK조림류,701254,CK 알감자조림(R 1Kg/EA),"95,509",알감자조림,,,쫄면(냉장/냉동),1
CK제품,CK반찬,CK조림반찬류,CK조림류,701255,CK 근대된장조림(R 1Kg/EA),"255,370",근대되장조림,,,가래떡,1
CK제품,CK반찬,CK조림반찬류,CK조림류,701298,CK 북어채고추장조림(R 1Kg/EA),"82,950",북어채고추장조림,,,떡국떡,1
CK제품,CK소스/양념,CK소스류,CK소스,701256,CK 순두부베이스(R 1Kg/EA),"1,033,782",순두부베이스,,,떡류기타,
CK제품,CK소스/양념,CK소스류,CK소스,701257,CK 미트스파게티소스(R 1Kg/EA),"2,461,358",미트스파게티소스,,,떡볶이떡,1
CK제품,CK소스/양념,CK소스류,CK소스,701258,CK 카레베이스(R 1Kg/EA),"334,859",카레베이스,,,전통떡류,
CK제품,CK소스/양념,CK소스류,CK소스,701259,CK 강된장베이스(R 1Kg/EA),"2,508,400",강된장베이스,,,조랭이떡,1
CK제품,CK소스/양념,CK소스류,CK소스,701265,CK 겉절이양념소스(R 1Kg/EA),"4,870,823",겉절이양념소스,,,팥빙수떡,1
가공식품,가공부가상품,가공선물세트,가공선물세트,137666,백설 선물세트(콩기름5호 3.298Kg/EA),"402,393,221",오일선물세트,,,국수(상온),1
가공식품,가공부가상품,가공선물세트,가공선물세트,137686,CJ제일제당 명절선물세트(스팸스위트1호 2.82Kg/EA),"3,398,583",햄선물세트,,,당면(상온),1
가공식품,가공부가상품,가공선물세트,가공선물세트,137705,CJ제일제당 명절선물세트(스팸3호 3.24Kg/EA),"20,341,795",햄선물세트,,,메밀국수(상온),1
가공식품,가공부가상품,가공선물세트,가공선물세트,137708,CJ제일제당 명절선물세트(스팸7호 2.4Kg/EA),"300,627",햄선물세트,,,봉지라면(상온),1
가공식품,가공부가상품,가공선물세트,가공선물세트,137711,CJ제일제당 명절선물세트(스팸고급유2호 3.256Kg/EA),"3,067,401",종합선물세트,,,사리면(상온),1
가공식품,가공부가상품,가공선물세트,가공선물세트,137712,CJ제일제당 명절선물세트(스팸고급유3호 2.72Kg/EA),"9,230,120",종합선물세트,,,상온면류기타,
가공식품,가공부가상품,가공선물세트,가공선물세트,146327,백설 선물세트(유러피안B호 1.392Kg/EA),"2,532,949",오일선물세트,,,쌀국수(상온),1
가공식품,가공부가상품,가공선물세트,가공선물세트,162934,백설 선물세트(유프리미엄17호 1.856Kg/EA),"4,546,711",오일선물세트,,,월남쌈(상온),1
가공식품,가공부가상품,가공선물세트,가공선물세트,162936,백설 선물세트(유러피한M호 928g/EA),"3,004,695",오일선물세트,,,컵라면(상온),1
가공식품,가공부가상품,가공선물세트,가공선물세트,162937,백설 선물세트(유러피안S호 1.856Kg/EA),"760,660",오일선물세트,,,파스타(상온),1
가공식품,가공부가상품,가공선물세트,가공선물세트,162942,CJ제일제당 명절선물세트(스팸6호 2.4Kg/EA),"14,682,210",햄선물세트,,,가공곡물/분말기타,
가공식품,가공부가상품,가공선물세트,가공선물세트,162944,CJ제일제당 명절선물세트(스팸고급유4호 2.12Kg/EA),"1,203,329",종합선물세트,,,감자전분,1
가공식품,가공부가상품,가공선물세트,가공선물세트,162950,백설 선물세트(특선2호 2.12Kg/EA),"8,750,142",종합선물세트,,,고구마전분,1
가공식품,가공부가상품,가공선물세트,가공선물세트,166246,CJ제일제당 명절선물세트(스팸1S호 4.08Kg/EA),"13,387,536",햄선물세트,,,곡물가루,1
가공식품,가공부가상품,가공선물세트,가공선물세트,209570,백설 선물세트(비비고 토종김5호 72g/EA),"7,306,902",김선물세트,,,밀가루,1
가공식품,가공부가상품,가공선물세트,가공선물세트,232375,백설 선물세트(유러피안B호 특판용 1.392Kg/EA),"3,375,678",오일선물세트,,,옥수수전분,1
가공식품,가공부가상품,가공선물세트,가공선물세트,232381,CJ제일제당 명절선물세트(스팸1호 특판용 4.08Kg/EA),"240,772",햄선물세트,,,빵가루,1
가공식품,가공부가상품,가공선물세트,가공선물세트,232382,CJ제일제당 명절선물세트(스팸3호 특판용 3.24Kg/EA),"2,521,966",햄선물세트,,,부침가루,1
가공식품,가공부가상품,가공선물세트,가공선물세트,232383,CJ제일제당 명절선물세트(스팸6호 특판용 2.4Kg/EA),"138,468,793",햄선물세트,,,튀김가루,1
가공식품,가공부가상품,가공선물세트,가공선물세트,232385,백설 명절선물세트(스팸8호 특판용 1.8Kg/EA),"150,556,555",햄선물세트,,,프리믹스기타,
가공식품,가공부가상품,가공선물세트,가공선물세트,232387,CJ제일제당 명절선물세트(스팸고급유4호 특판용 2.12Kg/EA),"4,363,382",종합선물세트,,,과일가공품기타,
가공식품,가공부가상품,가공선물세트,가공선물세트,232389,CJ제일제당 명절선물세트(스팸고급유7호 특판용 1.52Kg/EA),"3,468,273",종합선물세트,,,과채가공품기타,
가공식품,가공부가상품,가공선물세트,가공선물세트,232390,백설 선물세트(현명한선택3S호(구.C호) 특판용 3.13Kg/EA),"8,810,167",종합선물세트,,,농산가공품기타,
가공식품,가공부가상품,가공선물세트,가공선물세트,232394,CJ제일제당 선물세트(현명한선택_스페셜2호 특판용 3.024Kg/EA),"66,191,481",종합선물세트,,,밀감가공품,
가공식품,가공부가상품,가공선물세트,가공선물세트,232400,백설 선물세트(현명한선택2S호(구.B호) 특판용 2.094Kg/EA),"25,106,638",종합선물세트,,,버섯가공품,
가공식품,가공부가상품,가공선물세트,가공선물세트,232468,백설 선물세트(프리미엄17호 특판용 2.8Kg/EA),"5,661,919",오일선물세트,,,복숭아가공품,
가공식품,가공부가상품,가공선물세트,가공선물세트,248185,한뿌리 명절선물세트(흑삼달임진액_40ml*30입 1.2Kg/EA),"496,597",건강식품선물세트,,,옥수수가공품,
가공식품,가공부가상품,가공선물세트,가공선물세트,248447,백설 선물세트(유러피안_스팸2호 특판용 3.37Kg/EA),"5,199,981",햄선물세트,,,올리브가공품,
가공식품,가공부가상품,가공선물세트,가공선물세트,248452,백설 명절선물세트(스팸스위트1호 특판용 3.1Kg/EA),"16,569,963",햄선물세트,,,죽순가공품,
가공식품,가공부가상품,가공선물세트,가공선물세트,248464,CJ제일제당 선물세트(현명한선택Q-5호 특판용 2.24Kg/EA),"85,500",종합선물세트,,,콩가공품,
가공식품,가공부가상품,가공선물세트,가공선물세트,248468,한뿌리 선물세트(홍삼골드_32입 특판용 1.6Kg/EA),"4,798,312",건강식품선물세트,,,토마토가공품,
가공식품,가공부가상품,가공선물세트,가공선물세트,249387,백설 명절선물세트(스팸12호 특판용 1.6Kg/EA),"14,043,694",햄선물세트,,,파인애플가공품,
가공식품,가공부가상품,가공선물세트,가공선물세트,249388,백설 명절선물세트(유러피안M호 특판용 928g/EA),"9,904,331",오일선물세트,,,후르츠칵테일,1
가공식품,가공부가상품,가공선물세트,가공선물세트,249391,백설 명절선물세트(건강을생각한_리그난참기름A호 특판용 982g/EA),"326,000",오일선물세트,,,골뱅이가공품,
가공식품,가공부가상품,가공선물세트,가공선물세트,249393,백설 명절선물세트(스팸고급유108호 특판용 1.66Kg/EA),"29,500,408",햄선물세트,,,꽁치/고등어가공품,
가공식품,가공부가상품,가공선물세트,가공선물세트,254649,백설 선물세트(스팸12호 특판용 400g/EA),"2,384,654",햄선물세트,,,번데기가공품,
가공식품,가공부가상품,가공선물세트,가공선물세트,254650,한뿌리 선물세트(홍삼골드_40ml*16입 특판용 1Kg/EA),"8,030,931",건강식품선물세트,,,수산가공품기타,
가공식품,가공부가상품,가공선물세트,가공선물세트,267790,백설 선물세트(카놀라유3호 특판용 1.3Kg/EA),"1,803,935",오일선물세트,,,참치가공품,
가공식품,가공부가상품,가공선물세트,가공선물세트,267791,백설 선물세트(프리미엄14호 특판용 1.8Kg/EA),"5,313,280",오일선물세트,,,도토리묵,1
가공식품,가공부가상품,가공선물세트,가공선물세트,267795,백설 선물세트(고소함가득참기름A호 특판용 1.34Kg/EA),"992,946",오일선물세트,,,동부묵,1
가공식품,가공부가상품,가공선물세트,가공선물세트,267798,백설 선물세트(현명한선택_8S호(구.H호) 특판용 1.65Kg/EA),"26,058,371",종합선물세트,,,두부기타,
가공식품,가공부가상품,가공선물세트,가공선물세트,267807,CJ제일제당 선물세트(최고의선택_프리미엄호 특판용 4.24Kg/EA),"9,045,000",종합선물세트,,,묵류기타,
가공식품,가공부가상품,가공선물세트,가공선물세트,267818,CJ제일제당 선물세트(현명한선택_블랙라벨 특판용 4.097Kg/EA),"331,300",종합선물세트,,,부침용두부,1
가공식품,가공부가상품,가공선물세트,가공선물세트,267823,백설 선물세트(현명한선택_스페셜블루(구.스페셜3호) 특판용 2.359Kg/EA),"28,686,686",종합선물세트,,,순두부,1
가공식품,가공부가상품,가공선물세트,가공선물세트,268962,더건강한 명절선물세트(캔햄8호 1.8Kg/EA),"72,191",햄선물세트,,,연두부,1
가공식품,가공부가상품,가공선물세트,가공선물세트,269002,비비고 가공선물세트(직화구이1호 84g/EA),"9,838,113",김선물세트,,,유부,1
가공식품,가공부가상품,가공선물세트,가공선물세트,286372,백설 명절선물세트(진한참기름2호 특판용 982g/EA),"1,576,927",오일선물세트,,,찌개용두부,1
가공식품,가공부가상품,가공선물세트,가공선물세트,286373,백설 명절선물세트(스팸20호 특판용 4Kg/EA),"35,991,345",햄선물세트,,,맛살,1
가공식품,가공부가상품,가공선물세트,가공선물세트,286374,백설 명절선물세트(스팸21호 특판용 3.2Kg/EA),"25,628,028",햄선물세트,,,어묵,1
가공식품,가공부가상품,가공선물세트,가공선물세트,286376,백설 명절선물세트(제일6호 특판용 1.5Kg/EA),"26,338,485",오일선물세트,,,계란구이,
가공식품,가공부가상품,가공선물세트,가공선물세트,286379,백설 명절선물세트(현명한선택10S호(구.J호) 특판용 2.15Kg/EA),"29,658,155",종합선물세트,,,곤약,1
가공식품,가공부가상품,가공선물세트,가공선물세트,286380,백설 명절선물세트(현명한선택8S호(구.H호) 특판용 1.96Kg/EA),"44,262,316",종합선물세트,,,신선식품/두류가공기타,
가공식품,가공부가상품,가공선물세트,가공선물세트,286382,백설 선물세트(현명한선택_스패셜골드(구.스페셜1호) 특판용 4.01Kg/EA),"10,154,535",종합선물세트,,,콩나물/숙주,
가공식품,가공부가상품,가공선물세트,가공선물세트,286384,백설 선물세트(현명한선택5S호(구.E호) 특판용 3.4Kg/EA),"40,681,901",종합선물세트,,,가공우유,
가공식품,가공부가상품,가공선물세트,가공선물세트,326197,CJ제일제당 명절선물세트(스팸8호 1.8Kg/EA),"337,589,893",햄선물세트,,,떠먹는요거트,1
가공식품,가공부가상품,가공선물세트,가공선물세트,326299,CJ제일제당 명절선물세트(스팸고급유7호 1.52Kg/EA),"12,059,332",오일선물세트,,,마시는요거트,1
가공식품,가공부가상품,가공선물세트,가공선물세트,326303,CJ제일제당 선물세트(명절_특별한선택_3호 2.1Kg/EA),"1,451,311",종합선물세트,,,우유/요거트기타,
가공식품,가공부가상품,가공선물세트,가공선물세트,327090,백설 선물세트(현명한선택6S호(구.F호) 특판용 3.1Kg/EA),"63,310,235",종합선물세트,,,흰우유,1
가공식품,가공부가상품,가공선물세트,가공선물세트,327093,백설 선물세트(현명한선택9S호(구.I호) 특판용 1.72Kg/EA),"33,057,228",종합선물세트,,,버터,1
가공식품,가공부가상품,가공선물세트,가공선물세트,327097,비비고 선물세트(토종김8S호 특판용 600g/EA),"3,231,651",김선물세트,,,분유,1
가공식품,가공부가상품,가공선물세트,가공선물세트,327103,비비고 선물세트(토종김3호 특판용 1Kg/EA),"6,477,445",김선물세트,,,연유,1
가공식품,가공부가상품,가공선물세트,가공선물세트,327166,백설 한뿌리선물세트(인삼대보40ml*18입 720g/EA),"183,636",건강식품선물세트,,,크림,1
가공식품,가공부가상품,가공선물세트,가공선물세트,329807,홍삼진CK스틱(120g/EA),"54,545",건강식품선물세트,,,블럭치즈,1
가공식품,가공부가상품,가공선물세트,가공선물세트,332676,백설 선물세트(현명한선택7S호(구.G호) 특판용 3.4Kg/EA),"34,286,966",종합선물세트,,,슬라이스치즈,1
가공식품,가공부가상품,가공선물세트,가공선물세트,332680,한뿌리 선물세트(흑삼데일리스틱30입 특판용 249g/EA),"2,150,694",건강식품선물세트,,,치즈기타,
가공식품,가공부가상품,가공선물세트,가공선물세트,332696,비비고 선물세트(직화구이1호 특판용 384g/EA),"17,642,485",김선물세트,,,크림치즈,1
가공식품,가공부가상품,가공선물세트,가공선물세트,332697,한뿌리 선물세트(홍삼식스플러스_30입 특판용 1.2Kg/EA),"1,426,419",건강식품선물세트,,,특수치즈,
가공식품,가공부가상품,가공선물세트,가공선물세트,332699,백설 명절선물세트(진한참기름특호 특판용 1.8Kg/EA),"430,265",오일선물세트,,,피자치즈,1
가공식품,가공부가상품,가공선물세트,가공선물세트,332702,백설 명절선물세트(현명한선택C호 특판용 4.4Kg/EA),"47,758,199",종합선물세트,,,고추맛기름,1
가공식품,가공부가상품,가공선물세트,가공선물세트,332703,한뿌리 선물세트(인삼대보40ml*18입 특판용 720g/EA),"1,950,953",건강식품선물세트,,,기타 유지류,
가공식품,가공부가상품,가공선물세트,가공선물세트,332704,비비고 선물세트(토종김5호 특판용 372g/EA),"436,716",김선물세트,,,기타유지류(수입),
가공식품,가공부가상품,가공선물세트,가공선물세트,332706,한뿌리 선물세트(홍삼대보24입 특판용 960g/EA),"3,674,139",건강식품선물세트,,,대두유,1
가공식품,가공부가상품,가공선물세트,가공선물세트,332710,한뿌리 선물세트(흑삼달임액30입 특판용 1.2Kg/EA),"4,029,464",건강식품선물세트,,,들기름,1
가공식품,가공부가상품,가공선물세트,가공선물세트,332711,한뿌리 선물세트(흑삼대보 특판용 960g/EA),"2,844,949",건강식품선물세트,,,마가린,1
가공식품,가공부가상품,가공선물세트,가공선물세트,341358,헬씨키트14(비비고전복죽280g+비비고김치볶음80g 대체식키트용 360g/EA),"53,920",밀키트,,,쇼트닝,1
가공식품,가공부가상품,가공선물세트,가공선물세트,344712,한뿌리 선물세트(홍삼골드_세로형_40ml*32입 1.28Kg/EA),"71,833",건강식품선물세트,,,수입 기타 유지(유럽 및 호주),
가공식품,가공부가상품,가공선물세트,가공선물세트,344714,한뿌리 선물세트(흑삼대보_24입 960g/EA),"167,647",건강식품선물세트,,,옥수수유,1
가공식품,가공부가상품,가공선물세트,가공선물세트,344715,한뿌리 선물세트(홍삼대보_24입 960g/EA),"11,690,514",건강식품선물세트,,,올리브유,1
가공식품,가공부가상품,가공선물세트,가공선물세트,344726,한뿌리 선물세트(홍삼_식스플러스 1.2Kg/EA),"430,078",건강식품선물세트,,,참기름,1
가공식품,가공부가상품,가공선물세트,가공선물세트,344729,스팸 선물세트(12호 1.6Kg/EA),"10,124,249",햄선물세트,,,카놀라유,1
가공식품,가공부가상품,가공선물세트,가공선물세트,344734,백설 선물세트(프리미엄_14호 1.383Kg/EA),"31,658,092",오일선물세트,,,팝콘오일,1
가공식품,가공부가상품,가공선물세트,가공선물세트,344735,백설 선물세트(참기름_A호_고소함가득 982g/EA),"3,779,038",오일선물세트,,,향미유,1
가공식품,가공부가상품,가공선물세트,가공선물세트,344736,백설 선물세트(진한참기름_특호 1.38Kg/EA),"34,182",오일선물세트,,,기타조미료,
가공식품,가공부가상품,가공선물세트,가공선물세트,344737,백설 선물세트(특별한선택_1호 2.82Kg/EA),"4,292,983",종합선물세트,,,다시다류,1
가공식품,가공부가상품,가공선물세트,가공선물세트,344738,백설 선물세트(특별한선택_12호 2.16Kg/EA),"3,060,286",종합선물세트,,,라면/건더기스프,
가공식품,가공부가상품,가공선물세트,가공선물세트,344744,비비고 선물세트(토종김3S호 120g/EA),"121,631",김선물세트,,,발사믹식초,1
가공식품,가공부가상품,가공선물세트,가공선물세트,344745,비비고 선물세트(토종김4S호 1.06Kg/EA),"314,045",김선물세트,,,분말조미료,
가공식품,가공부가상품,가공선물세트,가공선물세트,344746,비비고 선물세트(토종김8S호 250g/EA),"5,017,081",김선물세트,,,식초,1
가공식품,가공부가상품,가공선물세트,가공선물세트,345402,헬씨키트17(따끈한밥200g+크레잇소고기무국250g 대체식키트용 450g/EA),"100,800",밀키트,,,식품첨가물,
가공식품,가공부가상품,가공선물세트,가공선물세트,345403,헬씨키트18(따끈한밥200g+크레잇육개장250g 대체식키트용 450g/EA),"67,200",밀키트,,,액상조미료,
